id,name,latitude,longitude,neighborhood,room_type,price,availability_365,number_of_reviews,reviews_per_month,review_scores_rating
766056605942339033,Chicago Penthouse Mid-Century Modern: Logan Square,41.91824137516668,-87.6944938,Logan Square,Entire home/apt,125.0,61,152,4.63,4.88
766092656582103547,Modern 2BR Chicago Stay near McCormick & Willis,41.85571,-87.62334,Near South Side,Entire home/apt,190.0,333,79,2.31,4.75
766499608228095208,"15 min to Lake Michigan, parking, washer/dryer",41.99402,-87.70631,West Ridge,Entire home/apt,114.0,255,67,1.95,4.91
766705080479926021,Arty & Warm Northside Apartment - 2 bed 1 bath,41.98336,-87.67013,Edgewater,Entire home/apt,115.0,309,14,0.44,4.86
766818920059799843,Tranquil stay near UofChicago & Jackson Park,41.777679555103525,-87.60342208,Woodlawn,Entire home/apt,75.0,309,9,0.3,5.0
767555849085171400,Rockwell by the River,41.93414767,-87.69311082,Avondale,Entire home/apt,181.0,349,102,3.0,4.98
767783533472740645,"Stylish2BR Near O'Hare, Rivers Casino, & Blue Line",41.9826278,-87.7778129,Jefferson Park,Entire home/apt,122.0,311,6,0.28,5.0
768017798932845929,Room for 2 in shared home,41.7015092,-87.5295414,East Side,Private room,46.0,344,39,1.24,4.87
768267132306262584,Relaxed Getaway in Spacious Luxury Apartment,41.80819,-87.62409,Grand Boulevard,Entire home/apt,249.0,365,1,0.04,5.0
769831627582069520,Skyline 2BR in South Loop Chicago Near McCormick,41.85395,-87.62532,Near South Side,Entire home/apt,211.0,329,114,3.33,4.87
769917916142259276,Spacious duplex near downtown!,41.86704865251533,-87.70350256,North Lawndale,Entire home/apt,175.0,179,11,0.38,4.91
770062747399563893,Gorgeous Corner 2 Bedroom off the Magnificent Mile,41.89097,-87.62285,Near North Side,Entire home/apt,474.0,190,2,0.14,5.0
770277529175795790,Sun-Soaked Skyline Loft,41.89917001866856,-87.66823999,West Town,Entire home/apt,278.0,165,14,1.0,4.86
770448806852730022,"Relaxing, peaceful  and quiet. 4 bedroom",41.68416,-87.67335,Morgan Park,Entire home/apt,186.0,350,44,1.36,4.5
770523073506526538,Hidden Gem:Artsy Speakeasy in Historic Bronzeville,41.81534,-87.61641,Grand Boulevard,Entire home/apt,105.0,229,134,3.95,4.92
771239119413540300,Beautiful/Spacious 7BD - 4BTH Home with Garage!,41.9416,-87.76558,Portage Park,Entire home/apt,324.0,100,75,2.21,4.72
771635681418578134,Villa Hermosa! Chicago 3BR apt w/pkg.,41.92707,-87.7357,Hermosa,Entire home/apt,134.0,87,96,3.04,4.95
771689364336750824,"Midcentury, comfy 2bed/2bath",41.91523616314063,-87.70765255,Logan Square,Entire home/apt,172.0,132,39,1.18,4.97
771833143252848397,Amazing Area - Logan Sleeps 5 - Games + PacMan,41.93495,-87.72365,Avondale,Entire home/apt,70.0,162,117,3.51,4.85
772022042817683681,Charming retreat w/ fireplace,41.85504,-87.66976,Lower West Side,Entire home/apt,116.0,338,114,3.37,4.83
772383533038998287,1Bd+ sofa bed+ in unit W/D in Hot Logan Square!,41.9306,-87.71996,Logan Square,Entire home/apt,40.0,183,1,0.04,5.0
772761488160509011,Great Location / Private Room in Lakeview,41.93766585612336,-87.65381478,Lake View,Private room,71.0,245,118,3.5,4.92
773214911162646829,Convenient Location / Private Room (Queen Bed),41.9375873,-87.6538057,Lake View,Private room,77.0,242,117,3.44,4.92
773277395382707715,Fantastic Location / Private Room,41.9375873,-87.6538057,Lake View,Private room,74.0,345,117,3.51,4.95
773908539670296526,Bright Lakeview East 3-Bedroom,41.93573,-87.64797,Lake View,Entire home/apt,148.0,333,100,3.01,4.86
774597192856116627,Private Room 5 min. to the City,41.87094,-87.65396,Near West Side,Private room,53.0,314,9,0.27,4.33
774617913244848660,Portage Park Entire 3BR Garden Unit,41.94589796458483,-87.77272231,Portage Park,Entire home/apt,171.0,113,15,0.66,4.73
